nba_player_list_2
Name,Points,Asist,Board,Salary
Justin Robinson,NAN,NAN,NAN,898310
Stanton Kidd,NAN,NAN,NAN,898310
Shaquille Harrison,6.5,3,1.9,898310
Javonte Green,NAN,NAN,NAN,898310
William Howard,NAN,NAN,NAN,898310
Caleb Martin,NAN,NAN,NAN,898310
Khyri Thomas,2.3,0.8,0.3,838464
Patrick Patterson,3.6,2.3,0.5,737067
Cole Aldrich,3.1,3.3,0.5,685340
Shaun Livingston,4,1.8,1.8,666667
Dakari Johnson,1.8,1.1,0.3,459414
A.J. Hammons,2.2,1.6,0.2,350087
Festus Ezeli,4.2,4.3,0.4,333333
C.J. Watson,7.2,1.9,2.5,333333
Troy Williams,5.3,2.8,0.5,122741
Yante Maten,1,1.5,0,100000
Jaylen Adams,3.2,1.8,1.9,100000
Demetrius Jackson,3.7,0.5,0.8,92857
